state,district,year,congress_nbr,vote
VA,8,1811,12,1532
VA,8,1813,13,1182
VA,8,1815,14,1521
VA,8,1817,15,1488
VA,8,1821,17,1279
VA,8,1823,18,1806
VA,8,1825,19,1281
VA,9,1790,2,3532
VA,9,1799,6,1674
VA,9,1807,10,1312
VA,9,1813,13,1410
VA,9,1815,14,1213
VA,9,1817,15,1245
VA,9,1819,16,1197
VA,9,1825,19,1734
VA,10,1797,5,471
VA,10,1815,14,1360
VA,10,1819,16,1131
VA,11,1799,6,2033
VA,11,1801,7,967
VA,11,1803,8,1271
VA,11,1825,19,1294
VA,12,1799,6,1881
VA,12,1803,8,2145
VA,12,1809,11,2041
VA,12,1813,13,981
VA,12,1815,14,1098
VA,12,1823,18,1450
VA,12,1825,19,1394
VA,13,1813,13,2087
VA,13,1815,14,1820
VA,13,1821,17,1772
VA,14,1799,6,1740
VA,14,1805,9,2063
VA,14,1807,10,2027
VA,14,1823,18,1494
VA,15,1809,11,1735
VA,15,1811,12,1594
VA,15,1813,13,2010
VA,15,1815,14,1969
VA,15,1819,16,1692
VA,15,1821,17,1661
VA,15,1823,18,1319
VA,15,1825,19,1157
VA,16,1797,5,1333
VA,16,1813,13,2046
VA,16,1815,14,1882
VA,16,1819,16,934
VA,16,1825,19,1838
VA,17,1797,5,414
VA,17,1799,6,1437
VA,17,1821,17,1306
VA,17,1823,18,1648
VA,17,1825,19,1917
VA,18,1803,8,1254
VA,18,1809,11,950
VA,18,1819,16,1102
VA,18,1821,17,643
VA,18,1823,18,2884
VA,19,1799,6,1201
VA,19,1801,7,1127
VA,19,1809,11,1839
VA,19,1825,19,2010
VA,20,1803,8,1157
VA,20,1805,9,1542
VA,20,1809,11,1750
VA,20,1813,13,1303
VA,20,1815,14,1385
VA,20,1821,17,1644
VA,22,1817,15,1198
VA,22,1821,17,1145
VA,22,1823,18,2877
VA,22,1825,19,3084
VA,23,1813,13,1376
VA,23,1817,15,1389
VT,1,1820,17,3764
VT,1,1824,19,3938
VT,2,1820,17,2756
VT,2,1824,19,3436
VT,3,1820,17,3161
VT,3,1824,19,3946
VT,4,1820,17,3685
VT,4,1824,19,5672
VT,5,1820,17,3688
VT,6,1820,17,4181
